pc4,WOZ
1011,509
1012,480
1013,471
1014,731
1015,532
1016,606
1017,734
1018,494
1019,531
1021,333
1022,321
1023,421
1024,329
1025,333
1026,794
1027,774
1028,828
1031,379
1032,369
1033,298
1034,339
1035,414
1036,566
1041,733
1042,207
1043,191
1046,468
1051,410
1052,433
1053,422
1054,570
1055,344
1056,396
1057,397
1058,479
1059,380
1060,461
1061,363
1062,293
1063,285
1064,302
1065,320
1066,435
1067,349
1068,293
1069,315
1071,1013
1072,446
1073,444
1074,465
1075,744
1076,491
1077,1183
1078,551
1079,459
1081,548
1082,492
1083,373
1086,528
1087,536
1091,441
1092,457
1093,424
1094,387
1095,375
1096,428
1097,398
1098,499
1102,214
1103,298
1104,269
1106,274
1107,275
1108,264
1109,401
1111,384
1112,335
1113,425
1114,510
1115,408
1121,467
1127,731
1131,307
1132,376
1135,373
1141,367
1145,656
1151,591
1153,749
1154,660
1156,281
1161,353
1165,397
1171,464
1175,440
1181,573
1182,636
1183,422
1184,902
1185,395
1186,386
1187,506
1188,405
1189,484
1191,578
1211,304
1212,254
1213,727
1214,365
1215,398
1216,324
1217,754
1218,401
1221,307
1222,324
1223,371
1231,523
1241,424
1243,462
1244,474
1251,793
1252,732
1261,749
1262,687
1271,400
1272,760
1273,311
1274,290
1275,301
1276,306
1277,458
1309,312
1311,295
1312,317
1313,283
1314,225
1315,234
1316,348
1317,251
1318,300
1319,458
1321,340
1323,289
1324,256
1325,308
1326,318
1328,325
1331,467
1332,432
1333,268
1334,202
1335,295
1336,339
1338,277
1339,297
1341,389
1343,618
1349,500
1351,306
1352,274
1353,220
1354,234
1355,260
1356,283
1357,270
1358,1131
1359,461
1361,447
1363,359
1381,462
1382,350
1383,382
1384,615
1391,602
1393,525
1394,467
1396,562
1398,495
1399,483
1401,596
1402,445
1403,321
1404,384
1405,910
1406,677
1411,525
1412,614
1421,339
1422,351
1423,401
1424,400
1426,501
1427,402
1428,391
1431,401
1432,502
1433,392
1435,372
1436,342
1437,456
1438,300
1441,301
1442,262
1443,260
1444,276
1445,273
1446,303
1447,354
1448,385
1451,647
1452,407
1454,575
1456,466
1458,569
1461,520
1462,411
1463,588
1464,569
1471,496
1472,494
1473,537
1474,352
1475,407
1476,470
1477,482
1481,443
1482,558
1483,352
1484,416
1485,721
1486,390
1487,295
1488,528
1489,565
1501,266
1502,273
1503,271
1504,254
1505,273
1506,325
1507,346
1508,252
1509,329
1511,411
1521,264
1525,361
1531,323
1534,422
1536,452
1541,325
1544,308
1546,457
1551,408
1561,276
1562,348
1566,366
1567,406
1601,284
1602,257
1606,317
1607,335
1608,410
1609,393
1611,292
1613,291
1614,315
1616,316
1617,336
1619,300
1621,327
1622,237
1623,346
1624,303
1625,273
1628,268
1631,363
1633,327
1634,301
1636,306
1641,287
1642,407
1643,465
1645,327
1646,466
1647,357
1648,318
1652,404
1654,396
1655,337
1657,314
1658,416
1661,365
1662,339
1663,371
1671,285
1674,328
1676,349
1678,365
1679,304
1681,390
1682,441
1683,388
1684,343
1685,380
1686,392
1687,382
1688,340
1689,296
1691,404
1692,421
1693,331
1695,356
1696,386
1697,422
1701,295
1702,272
1703,253
1704,378
1705,315
1706,363
1711,371
1713,319
1715,327
1716,292
1718,316
1719,395
1721,363
1722,352
1723,286
1724,328
1731,313
1732,380
1733,318
1734,444
1735,323
1736,410
1738,334
1741,301
1742,296
1744,353
1746,321
1747,315
1749,337
1751,317
1752,333
1753,317
1754,338
1755,318
1756,281
1757,285
1759,314
1761,275
1764,303
1766,293
1767,285
1768,397
1769,494
1771,268
1773,186
1774,320
1775,290
1777,253
1778,309
1779,246
1781,147
1782,159
